COUNTRY,ISO3,n.ib.storms,inc,cases
Philippines,PHL,447,0.12,10609
Mexico,MEX,417,0.06,242
India,IND,317,2.56,4265027
Vietnam,VNM,294,0.006,453
Laos,LAO,169,0.95,6403
Madagascar,MDG,151,120.2,4911293
Thailand,THA,122,0.46,2219
South Korea,KOR,107,0.11,274
Myanmar,MMR,97,12.37,292857
Bangladesh,BGD,94,1.22,8974
Vanuatu,VUT,87,6.23,576
Indonesia,IDN,77,4.19,811636
Mozambique,MOZ,70,316.7,10283922
Cambodia,KHM,69,1.48,19064
Solomon Islands,SLB,59,223.5,151437
North Korea,PRK,58,0.21,2357
Honduras,HND,53,0.38,2290
Nicaragua,NIC,44,3.34,29457
Guatemala,GTM,43,0.14,1493
Dominican Republic,DOM,41,0.052,378
Papua New Guinea,PNG,36,163.7,1237112
Haiti,HTI,35,3.38,22546
Colombia,COL,23,8.85,102418
Pakistan,PAK,22,11.45,505620
Somalia,SOM,16,58.98,1131892
Yemen,YEM,15,40.98,979967
Venezuela,VEN,14,10.9,204683
Zimbabwe,ZWE,13,28.46,342543
Comoros,COM,12,24.71,10537
Malawi,MWI,11,219.2,4359158
South Africa,ZAF,9,0.34,2958
Costa Rica,CRI,8,0.22,189
Senegal,SEN,6,48.02,995763
Tanzania,TZA,5,121.5,7997711
Botswana,BWA,5,0.31,1067
Nepal,NPL,5,0.004,106
Ethiopia,ETH,4,60.86,3783896
Gambia,GMB,4,93.06,213311
Iran,IRN,4,1.59,0
Guinea-Bissau,GNB,2,107,216542
Brazil,BRA,2,3.44,162016
Namibia,NAM,2,8.29,21322
Panama,PAN,2,2.26,4585
Eswatini,SWZ,2,0.64,306
Afghanistan,AFG,1,9.06,193232
Mauritania,MRT,1,44.85,85030
Djibouti,DJI,1,48.36,58445
Guyana,GUY,1,32.74,25792
